ip,port,loc_country,zip,protocol,ts,times,is_attack
185.104.187.66,80,HU,1012,HTTP,2018-02-18 00:26:31,1,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:34:03,1,0
159.203.92.77,80,US,7014,HTTP,2018-02-18 00:43:47,1,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:07,2,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:08,12,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:09,13,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:10,2,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:11,15,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:12,2,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:23,10,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:24,11,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:25,18,1
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:26,11,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:27,4,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:28,7,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:29,7,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:30,9,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:31,8,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:32,5,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:34,2,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:37,4,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:38,16,1
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:39,10,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:40,3,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:41,11,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:42,10,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:43,15,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:44,9,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:45,5,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 00:51:46,3,0
107.170.186.79,80,US,10011,HTTP,2018-02-18 01:02:36,1,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:13,8,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:14,14,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:15,5,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:16,3,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:17,1,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:18,9,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:19,1,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:20,15,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:21,6,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:22,4,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:23,9,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:25,5,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:26,5,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:27,6,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:28,5,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:29,6,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:30,2,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:31,1,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:32,6,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:33,1,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:34,3,0
184.3.91.65,80,US,27559,HTTP,2018-02-18 01:06:35,3,0
